playerDeck,opponentDeck,ID 1,ID 2,Filter,Rank,playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Kennen (DE/IO),Ahri/Kennen (IO/SH),Ahri/Kennen (DE/IO)Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH)Ahri/Kennen (DE/IO),1,Masters,Ahri/Kennen (DE/IO),Ahri/Kennen (IO/SH),24,46,0.52
Ahri/Kennen (DE/IO),Miss Fortune/Quinn,Ahri/Kennen (DE/IO)Miss Fortune/Quinn (BW/DE),Miss Fortune/Quinn (BW/DE)Ahri/Kennen (DE/IO),1,Masters,Ahri/Kennen (DE/IO),Miss Fortune/Quinn (BW/DE),17,49,0.35
Ahri/Kennen (DE/IO),Pyke/Rek'Sai,Ahri/Kennen (DE/IO)Pyke/Rek'Sai (SH/BW),Pyke/Rek'Sai (SH/BW)Ahri/Kennen (DE/IO),1,Masters,Ahri/Kennen (DE/IO),Pyke/Rek'Sai (SH/BW),26,42,0.62
Ahri/Kennen (DE/IO),Senna/Veigar,Ahri/Kennen (DE/IO)Senna/Veigar (SI/BC),Senna/Veigar (SI/BC)Ahri/Kennen (DE/IO),1,Masters,Ahri/Kennen (DE/IO),Senna/Veigar (SI/BC),27,42,0.64
Ahri/Kennen (IO),Ahri/Kennen (IO/SH),Ahri/Kennen (IO)Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Ahri/Kennen (IO/SH),30,62,0.48
Ahri/Kennen (IO),Ahri/Kennen (IO/SI),Ahri/Kennen (IO)Ahri/Kennen (IO/SI),Ahri/Kennen (IO/SI)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Ahri/Kennen (IO/SI),17,33,0.52
Ahri/Kennen (IO),Draven/Rumble (NX/PZ),Ahri/Kennen (IO)Draven/Rumble (NX/PZ),Draven/Rumble (NX/PZ)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Draven/Rumble (NX/PZ),21,32,0.66
Ahri/Kennen (IO),Fizz/Lulu (BC/PZ),Ahri/Kennen (IO)Fizz/Lulu (BC/PZ),Fizz/Lulu (BC/PZ)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Fizz/Lulu (BC/PZ),22,31,0.71
Ahri/Kennen (IO),Miss Fortune/Quinn,Ahri/Kennen (IO)Miss Fortune/Quinn (BW/DE),Miss Fortune/Quinn (BW/DE)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Miss Fortune/Quinn (BW/DE),20,52,0.38
Ahri/Kennen (IO),Pantheon/Shyvana,Ahri/Kennen (IO)Pantheon/Shyvana (DE/MT),Pantheon/Shyvana (DE/MT)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Pantheon/Shyvana (DE/MT),24,36,0.67
Ahri/Kennen (IO),Pyke/Rek'Sai,Ahri/Kennen (IO)Pyke/Rek'Sai (SH/BW),Pyke/Rek'Sai (SH/BW)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Pyke/Rek'Sai (SH/BW),23,43,0.53
Ahri/Kennen (IO),Senna/Veigar,Ahri/Kennen (IO)Senna/Veigar (SI/BC),Senna/Veigar (SI/BC)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Senna/Veigar (SI/BC),23,47,0.49
Ahri/Kennen (IO),Trundle/Tryndamere (FR/SI),Ahri/Kennen (IO)Trundle/Tryndamere (FR/SI),Trundle/Tryndamere (FR/SI)Ahri/Kennen (IO),1,Masters,Ahri/Kennen (IO),Trundle/Tryndamere (FR/SI),18,30,0.60
Ahri/Kennen (IO/NX),Ahri/Kennen (IO/NX),Ahri/Kennen (IO/NX)Ahri/Kennen (IO/NX),Ahri/Kennen (IO/NX)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Ahri/Kennen (IO/NX),15,30,0.50
Ahri/Kennen (IO/NX),Ahri/Kennen (IO/SH),Ahri/Kennen (IO/NX)Ahri/Kennen (IO/SH),Ahri/Kennen (IO/SH)Ahri/Kennen (IO/NX),2,Masters,Ahri/Kennen (IO/NX),Ahri/Kennen (IO/SH),66,121,0.55
